fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,6,2,989.36,863.35,2,1
Pigskin on  the Gridiron,Grits,6,2,939.9200000000001,881.04,4,2
Athens Team Sasquatch,Grits,5,3,1000.59,957.72,1,3
Captain Clairvoyant,Grits,5,3,903.9,863.88,6,4
Georgia Peanuts,Hot Dish,5,3,870.95,842.67,7,5
Middle Earth Hangry Hobbits,Hot Dish,4,4,941.49,872.88,3,6
Southern Sharks,Hot Dish,3,5,918.16,969,5,7
Jumpin' Jaheims,Grits,3,5,851.45,925.09,8,8
KC Gophers,Hot Dish,2,6,795.52,890.54,9,9
The G.O.A.T.,Grits,1,7,739.92,885.09,10,10
