add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division,stay
2021-11-03,Tua Tagovailoa,0,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-11-03,Kenyan Drake,13,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-11-04,Van Jefferson,5.6000000000000005,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,5
2021-11-05,Dawson Knox,0,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,4
2021-11-03,Jeremy McNichols,5,20,1,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish,6
2021-11-03,Patriots D/ST,19,16,0,3,TS,3,The Sophomores,TSoph,NA,The Sophomores TSoph,Hot Dish,6
2021-11-03,Colts D/ST,0,16,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-11-04,Randy Bullock,4,17,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits,5
2021-11-07,Rondale Moore,6.2,23,1,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits,2
2021-11-07,Tyler Conklin,7,6,0,5,GOAt,5,The,G.O.A.T.,NA,The G.O.A.T.,Grits,2
2021-11-03,Ben Roethlisberger,16.2,0,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits,6
2021-11-03,Boston Scott,4,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-03,Adrian Peterson,9.1,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-03,Steelers D/ST,4,16,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-03,Latavius Murray,0,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,6
2021-11-04,Nyheim Hines,20.049999999999997,2,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,5
